variance,xmean,mean3839,mean3940,mean4041,mean4142,max,min,range,stdev,dcirohm,dcir_soc00ohm,dcir_soc10ohm,dcir_soc20ohm,dcir_soc30ohm,dcir_soc40ohm,dcir_soc50ohm,dcir_soc60ohm,dcir_soc70ohm,dcir_soc80ohm,deltat023840,deltat103840,ctr,ccct,cvct,soh_label_pct
0.007518709,0.2944050663148718,0.2385396726525408,0.2870851067043604,0.2475144750536742,0.4098933085804826,0.4632389533542547,0.2307976427169995,0.2324413106372551,0.075456693,0.0228888888888888,0.09,0.0299999999999995,0.0249999999999992,0.023333333,0.0233333333333336,0.0250000000000001,0.0249999999999992,0.021666667,0.023333333333334,4140.0,793.3333333333335,0.1916264090177134,3140,443.0500000000002,100.0
0.008914453,0.2981183074026541,0.2537069189970576,0.2887567409193244,0.2394412566116887,0.4160737937854986,0.4712643683652331,0.2230544632287032,0.2482099051365298,0.077009503,0.024111111,0.09,0.0299999999999995,0.026666667,0.0250000000000001,0.0250000000000001,0.026666667,0.0250000000000001,0.023333333,0.023333333333334,4050.0,786.6666666666672,0.1942386831275721,2870,455.0500000000002,93.10801855533468
0.009735855,0.3023097750489562,0.2585390226487607,0.2958997342886638,0.2448346432930012,0.4152683707017176,0.4720163838028086,0.2273067326236786,0.24470965117913,0.075181939,0.0251111111111111,0.091666667,0.0316666666666668,0.026666667,0.026666667,0.026666667,0.028333333333333,0.026666667,0.0249999999999992,0.0249999999999992,4020.0,770.0,0.1915422885572139,2720,458.1500000000001,89.46322067594434
0.0100224061241978,0.3023303228684084,0.2595836714760728,0.2970445092876966,0.2452748071729885,0.4126066299005401,0.4698785581828439,0.2276268418013733,0.2422517163814705,0.074204188,0.0261111111111111,0.093333333,0.033333333,0.028333333333333,0.026666667,0.0299999999999995,0.0299999999999995,0.026666667,0.026666667,0.0249999999999992,4000.0,764.9999999999989,0.1912499999999997,2650,460.6500000000001,87.77335984095429
0.010921385644393,0.311752503,0.2676939755424634,0.3085448179053451,0.2563738836039677,0.4194894816770439,0.4785244749374873,0.2379972851644527,0.2405271897730345,0.073367385,0.0268888888888889,0.093333333,0.033333333,0.028333333333333,0.026666667,0.0299999999999995,0.0299999999999995,0.026666667,0.028333333,0.0283333333333339,4000.0,754.9999999999989,0.1887499999999997,2570,475.6999999999998,86.24917164
0.0117330710289967,0.320389755,0.2743656342594746,0.3190138977272156,0.2678869185598617,0.4252705107175828,0.4839833156786435,0.2486296819828595,0.235353634,0.072121562,0.0275555555555556,0.095,0.033333333,0.028333333333333,0.028333333333333,0.0316666666666668,0.031666667,0.028333333333333,0.0283333333333339,0.03,3990.0,743.3333333333344,0.1862990810359234,2510,482.9499999999998,85.08946322067595
0.0136260913247239,0.3376034887534098,0.2860718747737437,0.3385870051673134,0.2942984033794681,0.4361616247952732,0.4969137184803696,0.27329341,0.2236203080278476,0.069756817,0.0293107800110366,0.099833333,0.033333333,0.031333333,0.031,0.0329999999999998,0.034166667,0.0305,0.029833333,0.033333333,3970.952380952383,723.1666666666661,0.1821141623695884,2370,487.0500000000002,82.20675944333996
0.0161193864033449,0.3579446363061533,0.2991211177428738,0.3594391020328141,0.3248173128942509,0.4529425121886838,0.5173298445234684,0.2921863615283726,0.2251434829950958,0.069066411,0.0310774266783699,0.104666666666666,0.034833333,0.033333333,0.033166667,0.035333333,0.036333333,0.032833333,0.031833333,0.0365,3957.142857142858,702.9333333333351,0.1776365824308066,2240,490.5,79.77137176938372
0.007094631,0.286677755,0.2314969675825207,0.2791740092831261,0.23890509,0.4025640159652965,0.4570791176269164,0.2195983800332002,0.2374807375937162,0.075812336,0.0226666666666666,0.09,0.0316666666666668,0.0250000000000001,0.0233333333333336,0.0250000000000001,0.026666667,0.026666667,0.021666667,0.023333333333334,4180.0,808.3333333333335,0.1933811802232855,3180,438.0999999999999,100.0
0.008566329,0.2921403730308043,0.2485052329865648,0.2822216538919959,0.2328400205827895,0.4105133112541848,0.4679760311620864,0.2176543200005198,0.2503217111615665,0.077635269,0.0244444444444444,0.09,0.0300000000000003,0.026666667,0.0249999999999992,0.026666667,0.026666667,0.0249999999999992,0.0249999999999992,0.023333333,4070.0,798.3333333333335,0.1961506961506962,2910,450.5,93.26101249178174
